item,QID,label,ifkdb,svwiki,ifkdb_wikipedia,ifk_title,wd_title,status,match
http://www.wikidata.org/entity/Q16633382,Q16633382,Tomas Rosenkvist,https://ifkdb.se/spelare/Tomas-Rosenkvist_608,https://sv.wikipedia.org/wiki/Tomas_Rosenkvist,https://sv.wikipedia.org/wiki/Tomas_Rosenkvist,Tomas Rosenkvist,Tomas Rosenkvist,match,True
http://www.wikidata.org/entity/Q16650635,Q16650635,Gunnar Zacharoff,https://ifkdb.se/spelare/Gunnar-Zacharoff_731,https://sv.wikipedia.org/wiki/Gunnar_Zacharoff,https://sv.wikipedia.org/wiki/Gunnar_Zacharoff,Gunnar Zacharoff,Gunnar Zacharoff,match,True
http://www.wikidata.org/entity/Q16945082,Q16945082,Junes Barny,https://ifkdb.se/spelare/Junes-Barny_902,https://sv.wikipedia.org/wiki/Junes_Barny,https://sv.wikipedia.org/wiki/Junes_Barny,Junes Barny,Junes Barny,match,True
http://www.wikidata.org/entity/Q4806248,Q4806248,Ludwig Augustinsson,https://ifkdb.se/spelare/Ludwig-Augustinsson_754,https://sv.wikipedia.org/wiki/Ludwig_Augustinsson,https://sv.wikipedia.org/wiki/Ludwig_Augustinsson,Ludwig Augustinsson,Ludwig Augustinsson,match,True
http://www.wikidata.org/entity/Q4816480,Q4816480,Emmanuel Tetteh,https://ifkdb.se/spelare/Emmanuel-Tetteh_686,https://sv.wikipedia.org/wiki/Emmanuel_Tetteh,https://sv.wikipedia.org/wiki/Emmanuel_Tetteh,Emmanuel Tetteh,Emmanuel Tetteh,match,True
http://www.wikidata.org/entity/Q5019292,Q5019292,Caleb Schylander,https://ifkdb.se/spelare/Caleb-Schylander_638,https://sv.wikipedia.org/wiki/Caleb_Schylander,https://en.wikipedia.org/wiki/Caleb_Schylander,Caleb Schylander,Caleb Schylander,match,True
http://www.wikidata.org/entity/Q5237638,Q5237638,David Moberg Karlsson,https://ifkdb.se/spelare/David-Moberg+Karlsson_806,https://sv.wikipedia.org/wiki/David_Moberg_Karlsson,https://sv.wikipedia.org/wiki/David_Moberg_Karlsson,David Moberg Karlsson,David Moberg Karlsson,match,True
http://www.wikidata.org/entity/Q5241069,Q5241069,David Boo Wiklander,https://ifkdb.se/spelare/David-Boo+Wiklander_726,https://sv.wikipedia.org/wiki/David_Boo_Wiklander,https://sv.wikipedia.org/wiki/David_Boo_Wiklander,David Boo Wiklander,David Boo Wiklander,match,True
http://www.wikidata.org/entity/Q5386960,Q5386960,Erik Levin,https://ifkdb.se/spelare/Erik-Levin_436,https://sv.wikipedia.org/wiki/Erik_Levin,https://en.wikipedia.org/wiki/Eric_Levin,Eric Levin,Erik Levin,no_wikipedia_ifkdb,False
http://www.wikidata.org/entity/Q5545643,Q5545643,Mauricio Albornoz,https://ifkdb.se/spelare/Mauricio-Albornoz_862,https://sv.wikipedia.org/wiki/Mauricio_Albornoz,https://sv.wikipedia.org/wiki/Mauricio_Albornoz,Mauricio Albornoz,Mauricio Albornoz,match,True
http://www.wikidata.org/entity/Q5546809,Q5546809,Joel Allansson,https://ifkdb.se/spelare/Joel-Allansson_747,https://sv.wikipedia.org/wiki/Joel_Allansson,https://sv.wikipedia.org/wiki/Joel_Allansson,Joel Allansson,Joel Allansson,match,True
http://www.wikidata.org/entity/Q5554786,Q5554786,Henry Andersson,https://ifkdb.se/spelare/Henry-Andersson_44,https://sv.wikipedia.org/wiki/Henry_Andersson,https://sv.wikipedia.org/wiki/Henry_Andersson,Henry Andersson,Henry Andersson,match,True
http://www.wikidata.org/entity/Q5555306,Q5555306,Leif Andersson,https://ifkdb.se/spelare/Leif-Andersson_52,https://sv.wikipedia.org/wiki/Leif_Andersson_(fotbollstr%C3%A4nare),https://sv.wikipedia.org/wiki/Leif_Andersson_(fotbollstr%C3%A4nare),Leif Andersson (fotbollstränare),Leif Andersson (fotbollstränare),match,True
http://www.wikidata.org/entity/Q5555731,Q5555731,Patric Andersson,https://ifkdb.se/spelare/Patric-Andersson_60,https://sv.wikipedia.org/wiki/Patric_Andersson,https://sv.wikipedia.org/wiki/Patric_Andersson,Patric Andersson,Patric Andersson,match,True
http://www.wikidata.org/entity/Q5555906,Q5555906,Robert Andersson,https://ifkdb.se/spelare/Robert-Andersson_63,https://sv.wikipedia.org/wiki/Robert_Andersson_(fotbollsspelare),https://sv.wikipedia.org/wiki/Robert_Andersson_(fotbollsspelare),Robert Andersson (fotbollsspelare),Robert Andersson (fotbollsspelare),match,True
http://www.wikidata.org/entity/Q5561849,Q5561849,William Atashkadeh,https://ifkdb.se/spelare/William-Atashkadeh_753,https://sv.wikipedia.org/wiki/William_Atashkadeh,https://sv.wikipedia.org/wiki/William_Atashkadeh,William Atashkadeh,William Atashkadeh,match,True
http://www.wikidata.org/entity/Q5578147,Q5578147,Petter Björlund,https://ifkdb.se/spelare/Petter-Björlund_761,https://sv.wikipedia.org/wiki/Petter_Bj%C3%B6rlund,https://sv.wikipedia.org/wiki/Petter_Bj%C3%B6rlund,Petter Björlund,Petter Björlund,match,True
