id,name,desc
per-anders-eklund,Per-Anders Eklund,"football anfallare (born 1948), Djurgårdens IF player 1948–1967"
birgitta-eklof,Birgitta Eklöf,"football mittfält (born 1963), Djurgårdens IF player 1986–1987"
patrik-eklof,Patrik Eklöf,"football försvarare (born 1969), Djurgårdens IF player 1989–1990"
ake-eklof,Åke Eklöf,"football forward (born 1945), Djurgårdens IF player 1972–1973"
toivo-ekman,Toivo Ekman,football player (born 1905)
prince-ikpe-ekong,Prince Ikpe Ekong,"football mittfältare (born 1978), Djurgårdens IF player 2009–2010"
peter-ekroth,Peter Ekroth,"football back (born 1960), Djurgårdens IF player 1980–1981"
ake-eksell,Åke Eksell,"football forward (born 1965), Djurgårdens IF player 1982–1983"
othman-el-kabir,Othman El Kabir,"football mittfältare (born 1991), Djurgårdens IF player 2016–2017"
britt-elfving,Britt Elfving,"football player (born 1947), Djurgårdens IF player 1967–1969"
stefan-elliott,Stefan Elliott,"football back (born 1991), Djurgårdens IF player 1991–2022"
johan-elmander,Johan Elmander,"football anfallare (born 1981), Djurgårdens IF player 2002–2003"
hans-goran-elo,Hans-Göran Elo,"football målvakt (born 1966), Djurgårdens IF player 1986–1987"
mikael-englund,Mikael Englund,"football försvarare (born 1960), Djurgårdens IF player 1960–1982"
david-englund,David Englund,"football högerinner (born 1896), Djurgårdens IF player 1917–1917"
karl-erik-engman,Karl-Erik Engman,"football player (born 1938), Djurgårdens IF player 1964–1965"
gustav-engvall,Gustav Engvall,"football Moderklubb: (born 1996), Djurgårdens IF player 1996–2017"
patrik-erickson,Patrik Erickson,"football forward (born 1969), Djurgårdens IF player 1994–1995"
kristina-ericsson,Kristina Ericsson,"football Nummer: (born 1969), Djurgårdens IF player 1990–1991"
maria-ericsson,Maria Ericsson,"football back (born 1974), Djurgårdens IF player 1997–1998"
aldor-eriksson,Aldor Eriksson,"football anfallare (born 1926), Djurgårdens IF player 1926–1949"
annelie-eriksson,Annelie Eriksson,"football mittfältare (born 1969), Djurgårdens IF player 1991–1992"
annika-eriksson,Annika Eriksson,"football mittfältare (born 1964), Djurgårdens IF player 1989–1990"
axel-eriksson,Axel Eriksson,football player (born 1864)
bertil-eriksson,Bertil Eriksson,football Moderklubb: (born )
carl-erik-eriksson,Carl-Erik “Jätten” Eriksson,"football player (born 1930), Djurgårdens IF player 1968–1970"
edvard-eriksson,Edvard Eriksson,football player (born 1872)
hakan-eriksson,Håkan Eriksson,"football forward (born 1956), Djurgårdens IF player 1982–1983"
john-jompa-eriksson,John Eriksson,"football center (born 1929), Djurgårdens IF player 1959–1960"
joakim-eriksson,Joakim Eriksson,"football forward (born 1976), Djurgårdens IF player 2001–2002"
jonny-eriksson,Jonny Eriksson,"football ytter (born 1941), Djurgårdens IF player 1941–1963"
katarina-eriksson,Katarina Eriksson,"football mittfält (born 1964), Djurgårdens IF player 1964–1987"
leif-eriksson,Leif Eriksson,"football center (born 1942), Djurgårdens IF player 1964–1965"
magnus-eriksson,Magnus Eriksson,"football mittfältare (born 1990), Djurgårdens IF player 2022–2023"
