id,name,desc
225596422,Kent Bengtsson,Kent Robert Bengtsson Född: 7 juni 1952 Ishockeyspelare Position: back Moderklubb: KB Karlskoga Säsonger Matcher Mål Assist Poäng 1973/74 28 8 3 11 1974/75 29 3 6 9 1975/76 35 11 9 20 1976/77 30 23 34 57
225596423,Pierre Bengtsson,Pierre Thomas Robin Bengtsson Född: 12 april 1988 Fotbollsspelare Position: ytterback Längd: 177 cm Nummer: 19 Moderklubb: IFK Kumla 2022 2023
225596424,Erik Berg,Anders Erik Berg (f.d. Johansson) Född: 30 december 1988 Fotbollsspelare Position: back Nummer: 21 Moderklubb: Falkenbergs FF 2 säsonger. 22 matcher 2 mål. 2018 11 0 2019 11 2
225596425,Oliver Berg,Oliver Berg Född: 28 augusti 1993 Fotbollsspelare Position: mittfältare Längd: 178 cm Nummer: 11 Moderklubb: Raufoss (Norge) 1 säsonger. n matcher. n mål. 2023
225596426,Rolf Berggren,Rolf Lennart Berggren Född: 26 november 1934 Ishockeyspelare Position: forward Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1956/57 – 7 0 7 1957/58 4 0 0 0 1958/59 13 11 7 18 1959/60 – 4 – – 1960/61 – 2 – – 1961/62 – – – – 1962/63 – –
225596427,Tommy Berggren,Stig Arne Tommy Berggren Född: 20 april 1950 Fotbollsspelare Position: försvarare/anfallare Moderklubb: Solberga IF 13 säsonger. 291 matcher. 55 mål. 1970 14 1 1971 20 0 1972 22 1 1973 25 1 1974 23 4 1975 23 0 1976 25 5 1977 24 5 1978 26 19 1979 20 6
225596428,Sigvard Bergh,Sigvard Bergh Född: 17 augusti 1912 Invald till hedersledamot 1970 Fotbollsspelare Position: anfallare Moderklubb: Långshyttans AIK 7 säsonger. 40 matcher. 20 mål. 1934/35 6 2 1935/36 18 0 1936/37 16 1 1937/38 – 9 1938/39 – 5 1939/40 – 1 1940/41 – 2
225596429,Kenneth Bergkvist,Kenneth Erik Bergkvist Född: 2 september 1968 Fotbollsspelare Position: försvarare Moderklubb: Djurgårdens IF 1988 0 0 1989 1990 5 0 1993 1994 23 2 1995 25 0 1996 18 1 1997 22 0
225596430,Bo Berglund,Bo Abel Berglund Född: 6 april 1955 Ishockeyspelare Position: forward Moderklubb: Modo AIK Säsonger Matcher Mål Assist Poäng 1977/78 15 7 5 12 1978/79 36 23 13 36 1979/80 36 20 15 35 1980/81 31 13 9 22 1981/82 33 20 16 36 1982/83 32 19 13 32
225596431,Charles Berglund,Ralph Douglas Charles Berglund Född: 18 januari 1965 Ishockeyspelare Position: forward Moderklubb: IFK Tumba Stor grabb #155 ishockey Säsonger Matcher Mål Assist Poäng 1987/88 36 8 9 17 1988/89 36 6 17 23 1989/90 36 5 6 11 1990/91 36 9 12 21 1991/92 
225596432,Emil Berglund,Emil Douglas Henry Berglund Född: 28 mars 1994 Ishockeyspelare Position: forward Längd: 172 cm Nummer: 26 Moderklubb: Väsby IK Säsonger Matcher Mål Assist Poäng 2021/22 26 2 3 5 2022/23 49 4 7 11
225596433,Tomas Bergman,Tomas Bergman Född: 23 augusti 1950 Bandyspelare 2 säsonger. 1965 1966
225596434,Adam Bergmark Wiberg,Carl Adam Bergmark Wiberg Född: 7 maj 1997 Fotbollsspelare Position: anfallare Nummer: 29 Moderklubb: Täby IS 1 säsong. 5 matcher. 0 mål. 2019 5 0
225596435,Malin Bergquist,Malin Charlotta Bergquist Född: 2 februari 1970 Fotbollsspelare Position: mittfältare Nummer: Moderklubb: Hanviken 1991 1992
225596436,Christer Bergqvist,Ulf Christer Bergqvist Född: 26 februari 1973 Fotbollsspelare Position: försvarare Moderklubb: GIF Sundsvall 2 säsonger. 26 matcher. 1 mål. 1997 17 1 1998 10 0
225596437,Thonny Bergqvist,Thonny Richard Bergqvist Född: 20 december 1944 Fotbollsspelare Position: anfallare Moderklubb: Älvsjö AIK 1 säsong. 3 matcher. 0 mål. 1968 3 0
225596438,Eva Bergsten,Eva Bergsten Född: 4 mars 1967 Fotbollsspelare Position: forward Nummer: 8 Moderklubb: IFK Ludvika 1990 1991 1992
